sale_id,issue_type
SO005974,duplicate_row
SO016430,duplicate_row
SO017188,duplicate_row
SO014387,duplicate_row
SO010894,duplicate_row
SO018509,duplicate_row
SO005050,null_customer_id
SO020282,null_customer_id
SO004303,null_customer_id
SO016895,null_customer_id
SO018215,null_customer_id
SO004121,null_customer_id
SO010413,null_customer_id
SO009399,null_customer_id
SO000234,null_customer_id
SO009971,null_customer_id
SO020284,invalid_product_id
SO003947,invalid_product_id
SO016715,invalid_product_id
SO010334,invalid_product_id
SO006815,invalid_product_id
SO007949,invalid_product_id
SO012755,invalid_product_id
SO002625,negative_quantity
SO021730,negative_quantity
SO005413,negative_quantity
SO017287,negative_quantity
SO003036,negative_quantity
SO019479,negative_quantity
SO011194,invalid_price
SO004713,invalid_price
SO002114,invalid_price
SO010312,invalid_price
SO006429,invalid_price
SO002672,invalid_price
SO010953,null_date
SO021383,null_date
SO018329,null_date
SO002434,null_date
SO008770,null_date
