product_id,product_name,category,unit_of_measure,unit_cost,list_price,is_active
P0001,Nitrile Exam Gloves - M,Gloves,case,4.2,6.99,True
P0002,Nitrile Exam Gloves - L,Gloves,case,4.35,7.19,True
P0003,Vinyl Food-Prep Gloves,Gloves,case,2.1,3.49,True
P0004,3-Ply Face Masks (Box 50),PPE,case,3.8,6.49,True
P0005,Isolation Gowns,PPE,case,5.6,8.99,True
P0006,Compostable Plates 9in,Tableware,case,1.9,3.29,True
P0007,Plastic Cutlery Kits,Tableware,case,1.4,2.59,True
P0008,Aluminum Foil Rolls 18in,Food Packaging,case,3.1,5.29,True
P0009,Take-Out Containers,Food Packaging,case,2.6,4.49,True
P0010,Paper Straws (Box 500),Food Packaging,case,2.2,3.99,True
