snapshot_date,product_id,on_hand_qty,reorder_point,safety_stock
2023-01-01,P0001,2423.7,1096.8,548.4
2023-01-02,P0001,2364.7,1096.8,548.4
2023-01-03,P0001,2290.7,1096.8,548.4
2023-01-04,P0001,2136.7,1096.8,548.4
2023-01-05,P0001,1967.7,1096.8,548.4
2023-01-06,P0001,1915.7,1096.8,548.4
2023-01-07,P0001,1813.7,1096.8,548.4
2023-01-08,P0001,1758.7,1096.8,548.4
2023-01-09,P0001,1699.7,1096.8,548.4
2023-01-10,P0001,1622.7,1096.8,548.4
2023-01-11,P0001,1532.7,1096.8,548.4
2023-01-12,P0001,1404.7,1096.8,548.4
2023-01-13,P0001,1386.7,1096.8,548.4
2023-01-14,P0001,1318.7,1096.8,548.4
2023-01-15,P0001,1284.7,1096.8,548.4
2023-01-16,P0001,1227.7,1096.8,548.4
2023-01-17,P0001,1171.7,1096.8,548.4
2023-01-18,P0001,1041.7,1096.8,548.4
2023-01-19,P0001,1026.7,1096.8,548.4
2023-01-20,P0001,937.7,1096.8,548.4
2023-01-21,P0001,937.7,1096.8,548.4
2023-01-22,P0001,878.7,1096.8,548.4
2023-01-23,P0001,847.7,1096.8,548.4
2023-01-24,P0001,800.7,1096.8,548.4
2023-01-25,P0001,735.7,1096.8,548.4
2023-01-26,P0001,584.7,1096.8,548.4
2023-01-27,P0001,545.7,1096.8,548.4
2023-01-28,P0001,545.7,1096.8,548.4
2023-01-29,P0001,508.7,1096.8,548.4
2023-01-30,P0001,508.7,1096.8,548.4
2023-01-31,P0001,469.7,1096.8,548.4
2023-02-01,P0001,400.7,1096.8,548.4
2023-02-02,P0001,328.7,1096.8,548.4
2023-02-03,P0001,91.7,1096.8,548.4
2023-02-04,P0001,91.7,1096.8,548.4
2023-02-05,P0001,91.7,1096.8,548.4
2023-02-06,P0001,8.7,1096.8,548.4
2023-02-07,P0001,1434.7,1096.8,548.4
2023-02-08,P0001,1352.7,1096.8,548.4
2023-02-09,P0001,1295.7,1096.8,548.4
2023-02-10,P0001,1199.7,1096.8,548.4
2023-02-11,P0001,1199.7,1096.8,548.4
2023-02-12,P0001,1172.7,1096.8,548.4
2023-02-13,P0001,1007.7,1096.8,548.4
2023-02-14,P0001,890.7,1096.8,548.4
2023-02-15,P0001,846.7,1096.8,548.4
2023-02-16,P0001,755.7,1096.8,548.4
2023-02-17,P0001,693.7,1096.8,548.4
2023-02-18,P0001,662.7,1096.8,548.4
2023-02-19,P0001,647.7,1096.8,548.4
