product_id,effective_date,unit_cost,list_price
P0001,2023-01-01,4.2,6.99
P0001,2024-01-01,4.37,7.28
P0001,2025-01-01,4.63,7.71
P0002,2023-01-01,4.35,7.19
P0002,2024-01-01,4.58,7.56
P0002,2025-01-01,4.8,7.92
P0003,2023-01-01,2.1,3.49
P0003,2024-01-01,2.17,3.61
P0003,2025-01-01,2.25,3.74
P0004,2023-01-01,3.8,6.49
P0004,2024-01-01,3.92,6.7
P0004,2025-01-01,4.14,7.08
P0005,2023-01-01,5.6,8.99
P0005,2024-01-01,5.87,9.42
P0005,2025-01-01,6.17,9.9
P0006,2023-01-01,1.9,3.29
P0006,2024-01-01,1.96,3.39
P0006,2025-01-01,2.08,3.59
P0006,2025-06-01,2.39,3.59
P0007,2023-01-01,1.4,2.59
P0007,2024-01-01,1.48,2.73
P0007,2025-01-01,1.53,2.83
P0008,2023-01-01,3.1,5.29
P0008,2024-01-01,3.21,5.48
P0008,2025-01-01,3.32,5.67
P0009,2023-01-01,2.6,4.49
P0009,2024-01-01,2.7,4.67
P0009,2025-01-01,2.82,4.88
P0010,2023-01-01,2.2,3.99
P0010,2024-01-01,2.29,4.16
P0010,2025-01-01,2.38,4.32
