po_id,order_date,product_id,supplier_id,quantity_ordered,expected_delivery_date,actual_delivery_date,status
PO00001,2023-01-01,P0001,S007,758,2023-02-01,2023-02-01,Delivered
PO00002,2023-02-07,P0001,S007,399,2023-03-10,2023-03-12,Delivered
PO00003,2023-03-16,P0001,S007,608,2023-04-16,2023-04-16,Delivered
PO00004,2023-04-16,P0001,S007,713,2023-05-17,2023-05-18,Delivered
PO00005,2023-05-21,P0001,S007,491,2023-06-21,2023-06-20,Delivered
PO00006,2023-06-24,P0001,S007,759,2023-07-25,2023-07-23,Delivered
PO00007,2023-08-02,P0001,S007,552,2023-09-02,2023-09-05,Delivered
PO00008,2023-09-09,P0001,S007,774,2023-10-10,2023-10-08,Delivered
PO00009,2023-10-19,P0001,S007,775,2023-11-19,2023-11-18,Delivered
PO00010,2023-11-20,P0001,S007,866,2023-12-21,2023-12-22,Delivered
PO00011,2023-12-23,P0001,S007,430,2024-01-23,2024-01-21,Delivered
PO00012,2024-01-26,P0001,S007,320,2024-02-26,2024-02-26,Delivered
PO00013,2024-03-04,P0001,S007,687,2024-04-04,2024-04-03,Delivered
PO00014,2024-04-11,P0001,S007,313,2024-05-12,2024-05-13,Delivered
PO00015,2024-05-12,P0001,S007,645,2024-06-12,2024-06-11,Delivered
PO00016,2024-06-15,P0001,S007,639,2024-07-16,2024-07-15,Delivered
PO00017,2024-07-21,P0001,S007,808,2024-08-21,2024-08-22,Delivered
PO00018,2024-08-27,P0001,S007,505,2024-09-27,2024-09-27,Delivered
PO00019,2024-09-26,P0001,S007,861,2024-10-27,2024-10-28,Delivered
PO00020,2024-11-02,P0001,S007,301,2024-12-03,2024-12-04,Delivered
PO00021,2024-12-07,P0001,S007,405,2025-01-07,2025-01-10,Delivered
PO00022,2025-01-09,P0001,S007,776,2025-02-09,2025-02-12,Delivered
PO00023,2025-02-09,P0001,S007,855,2025-03-12,2025-03-11,Delivered
PO00024,2025-03-12,P0001,S007,569,2025-04-12,2025-04-11,Delivered
PO00025,2025-04-18,P0001,S007,551,2025-05-19,2025-05-22,Delivered
PO00026,2025-05-26,P0001,S007,595,2025-06-26,2025-06-29,Delivered
PO00027,2025-06-29,P0001,S007,637,2025-07-30,2025-08-01,Delivered
PO00028,2025-08-02,P0001,S007,516,2025-09-02,2025-09-01,Delivered
PO00029,2025-09-09,P0001,S007,314,2025-10-10,2025-10-12,Delivered
PO00030,2025-10-09,P0001,S007,820,2025-11-09,2025-11-07,Delivered
PO00031,2025-11-15,P0001,S007,771,2025-12-16,2025-12-14,Delivered
PO00032,2025-12-25,P0001,S007,892,2026-01-25,,In Transit
PO00033,2023-01-01,P0002,S010,718,2023-02-01,2023-02-01,Delivered
PO00034,2023-01-31,P0002,S010,789,2023-03-03,2023-03-03,Delivered
PO00035,2023-03-08,P0002,S010,340,2023-04-08,2023-04-07,Delivered
PO00036,2023-04-13,P0002,S010,332,2023-05-14,2023-05-12,Delivered
PO00037,2023-05-19,P0002,S010,398,2023-06-19,2023-06-22,Delivered
PO00038,2023-06-25,P0002,S010,846,2023-07-26,2023-07-29,Delivered
PO00039,2023-07-25,P0002,S010,761,2023-08-25,2023-08-25,Delivered
PO00040,2023-08-26,P0002,S010,304,2023-09-26,2023-09-24,Delivered
PO00041,2023-10-04,P0002,S010,692,2023-11-04,2023-11-07,Delivered
PO00042,2023-11-12,P0002,S010,760,2023-12-13,2023-12-12,Delivered
PO00043,2023-12-14,P0002,S010,863,2024-01-14,2024-01-12,Delivered
