sale_id,date,product_id,customer_id,quantity_sold,unit_price,discount_pct,revenue
SO000001,2023-01-01,P0007,C0019,27,2.57,0.006,69.39
SO000002,2023-01-01,P0008,C0036,44,4.91,0.071,216.04
SO000003,2023-01-01,P0006,C0002,28,3.02,0.083,84.56
SO000004,2023-01-01,P0006,C0002,25,3.09,0.062,77.25
SO000005,2023-01-01,P0010,C0022,48,3.98,0.002,191.04
SO000006,2023-01-01,P0010,C0028,20,3.9,0.023,78.0
SO000007,2023-01-01,P0003,C0044,7,3.19,0.086,22.33
SO000008,2023-01-01,P0007,C0021,13,2.57,0.007,33.41
SO000009,2023-01-01,P0004,C0025,18,5.96,0.081,107.28
SO000010,2023-01-01,P0009,C0026,6,4.18,0.068,25.08
SO000011,2023-01-01,P0007,C0044,12,2.58,0.003,30.96
SO000012,2023-01-01,P0001,C0036,44,6.46,0.076,284.24
SO000013,2023-01-02,P0004,C0029,22,5.98,0.078,131.56
SO000014,2023-01-02,P0002,C0010,40,6.76,0.06,270.4
SO000015,2023-01-02,P0008,C0014,27,5.01,0.052,135.27
SO000016,2023-01-02,P0008,C0021,20,4.89,0.075,97.8
SO000017,2023-01-02,P0005,C0024,30,8.12,0.097,243.6
SO000018,2023-01-02,P0009,C0029,19,4.41,0.017,83.79
SO000019,2023-01-02,P0009,C0007,13,4.14,0.077,53.82
SO000020,2023-01-02,P0008,C0024,15,5.18,0.02,77.7
SO000021,2023-01-02,P0008,C0035,39,4.88,0.077,190.32
SO000022,2023-01-02,P0005,C0042,43,8.41,0.065,361.63
SO000023,2023-01-02,P0007,C0009,12,2.47,0.045,29.64
SO000024,2023-01-02,P0001,C0023,28,6.52,0.067,182.56
SO000025,2023-01-02,P0008,C0022,31,4.99,0.056,154.69
SO000026,2023-01-02,P0003,C0037,18,3.19,0.085,57.42
SO000027,2023-01-02,P0005,C0026,18,8.55,0.049,153.9
SO000028,2023-01-02,P0009,C0015,19,4.44,0.011,84.36
SO000029,2023-01-02,P0003,C0032,43,3.32,0.048,142.76
SO000030,2023-01-02,P0004,C0030,41,6.33,0.025,259.53
SO000031,2023-01-02,P0004,C0013,36,6.1,0.06,219.6
SO000032,2023-01-02,P0003,C0022,32,3.17,0.093,101.44
SO000033,2023-01-02,P0009,C0006,32,4.13,0.08,132.16
SO000034,2023-01-02,P0004,C0030,15,6.28,0.032,94.2
SO000035,2023-01-02,P0007,C0028,29,2.51,0.032,72.79
SO000036,2023-01-02,P0001,C0001,31,6.69,0.043,207.39
SO000037,2023-01-03,P0003,C0042,48,3.41,0.024,163.68
SO000038,2023-01-03,P0006,C0032,36,3.11,0.056,111.96
SO000039,2023-01-03,P0004,C0012,43,6.17,0.05,265.31
SO000040,2023-01-03,P0001,C0037,21,6.8,0.027,142.8
SO000041,2023-01-03,P0002,C0002,32,7.15,0.005,228.8
SO000042,2023-01-03,P0005,C0032,37,8.42,0.063,311.54
SO000043,2023-01-03,P0002,C0044,30,6.48,0.099,194.4
SO000044,2023-01-03,P0007,C0004,15,2.49,0.037,37.35
SO000045,2023-01-03,P0001,C0038,28,6.66,0.047,186.48
SO000046,2023-01-03,P0002,C0006,26,6.8,0.054,176.8
SO000047,2023-01-03,P0001,C0009,10,6.5,0.07,65.0
SO000048,2023-01-03,P0003,C0020,40,3.48,0.002,139.2
SO000049,2023-01-03,P0003,C0019,24,3.26,0.065,78.24
SO000050,2023-01-03,P0004,C0041,37,6.23,0.04,230.51
SO000051,2023-01-03,P0007,C0018,44,2.55,0.014,112.2
SO000052,2023-01-03,P0009,C0025,27,4.25,0.054,114.75
SO000053,2023-01-03,P0010,C0035,11,3.73,0.066,41.03
SO000054,2023-01-03,P0010,C0002,5,3.95,0.009,19.75
SO000055,2023-01-03,P0005,C0037,36,8.42,0.063,303.12
SO000056,2023-01-03,P0009,C0041,39,4.18,0.07,163.02
SO000057,2023-01-03,P0003,C0020,28,3.35,0.04,93.8
SO000058,2023-01-03,P0001,C0024,15,6.33,0.094,94.95
SO000059,2023-01-03,P0004,C0038,44,6.09,0.061,267.96
SO000060,2023-01-03,P0003,C0025,39,3.15,0.097,122.85
SO000061,2023-01-04,P0002,C0035,20,6.48,0.099,129.6
SO000062,2023-01-04,P0004,C0033,8,6.33,0.024,50.64
SO000063,2023-01-04,P0005,C0020,12,8.23,0.085,98.76
SO000064,2023-01-04,P0001,C0033,16,6.63,0.051,106.08
SO000065,2023-01-04,P0006,C0022,34,2.97,0.097,100.98
SO000066,2023-01-04,P0003,C0008,31,3.34,0.043,103.54
SO000067,2023-01-04,P0005,C0030,37,8.47,0.058,313.39
SO000068,2023-01-04,P0001,C0005,23,6.59,0.057,151.57
SO000069,2023-01-04,P0001,C0017,48,6.33,0.094,303.84
SO000070,2023-01-04,P0005,C0006,39,8.32,0.075,324.48
SO000071,2023-01-04,P0005,C0024,33,8.6,0.043,283.8
SO000072,2023-01-04,P0005,C0031,39,8.11,0.098,316.29
SO000073,2023-01-04,P0004,C0021,36,5.94,0.085,213.84
SO000074,2023-01-04,P0003,C0018,29,3.35,0.039,97.15
SO000075,2023-01-04,P0006,C0003,44,3.27,0.007,143.88
SO000076,2023-01-04,P0002,C0032,26,6.93,0.036,180.18
SO000077,2023-01-04,P0010,C0002,30,3.69,0.074,110.7
SO000078,2023-01-04,P0001,C0009,47,6.49,0.071,305.03
SO000079,2023-01-04,P0007,C0029,46,2.38,0.081,109.48
SO000080,2023-01-04,P0003,C0025,28,3.17,0.091,88.76
